,Q26,Q2,Q13,Q17,Q19,Q20,Q22,Q3,Q14,Q16,Q18,Q23,Q25,Q7,Q8,Q9,Q10
30,Strongly agree,Extremely useful,Extremely useful,Extremely Necessary,Moderately Necessary,Slightly Necessary,Moderately Necessary,,,,,,,18 - 24,Male,Urban area,No
31,Strongly agree,Slightly useful,Extremely useful,Moderately Necessary,Slightly Necessary,Moderately Necessary,Slightly Unnecessary,,,,,,,18 - 24,Male,Urban area,No
32,Moderately agree,Extremely useless,Extremely useful,Extremely Necessary,Moderately Necessary,Moderately Necessary,Slightly Necessary,,,,,,,18 - 24,Female,Urban area,No
33,Strongly agree,,,,,,,Moderately useful,Extremely useful,Slightly Necessary,Extremely Necessary,Moderately Necessary,Moderately Necessary,18 - 24,Male,Urban area,No
34,Moderately agree,Slightly useful,Extremely useful,Extremely Necessary,Slightly Necessary,Extremely Necessary,Extremely Necessary,,,,,,,18 - 24,Male,Urban area,No
35,Slightly disagree,Slightly useless,Moderately useful,Moderately Necessary,Moderately Necessary,Moderately Necessary,Moderately Necessary,,,,,,,18 - 24,Female,Rural area,No
36,Strongly agree,Moderately useless,Moderately useful,Slightly Necessary,Moderately Necessary,Extremely Necessary,Moderately Necessary,,,,,,,18 - 24,Female,Urban area,No
37,Strongly agree,Extremely useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,,,,,,,25 - 34,Female,Urban area,Yes
38,Strongly agree,Extremely useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,,,,,,,25 - 34,Male,Urban area,No
39,Moderately agree,,,,,,,Moderately useful,Moderately useful,Moderately Unnecessary,Moderately Necessary,Moderately Necessary,Extremely Necessary,18 - 24,Male,Urban area,No
40,Slightly agree,,,,,,,Extremely useful,Extremely useful,Slightly Necessary,Extremely Necessary,Moderately Necessary,Moderately Necessary,25 - 34,Male,Urban area,No
41,Moderately agree,,,,,,,Slightly useful,Moderately useful,Moderately Necessary,Moderately Unnecessary,Moderately Necessary,Slightly Necessary,25 - 34,Female,Urban area,No
42,Moderately agree,Moderately useful,Moderately useful,Extremely Necessary,Slightly Necessary,Extremely Necessary,Extremely Necessary,,,,,,,18 - 24,Female,Rural area,No
43,Moderately agree,,,,,,,Slightly useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,18 - 24,Female,Rural area,No
44,Strongly agree,Extremely useful,Extremely useful,Moderately Necessary,Moderately Necessary,Moderately Necessary,Slightly Unnecessary,,,,,,,18 - 24,Female,Urban area,No
45,Moderately agree,,,,,,,Extremely useful,Extremely useful,Slightly Necessary,Moderately Necessary,Extremely Necessary,Moderately Necessary,18 - 24,Female,Urban area,No
46,Moderately agree,Moderately useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,,,,,,,18 - 24,Female,Urban area,No
47,Moderately agree,Slightly useless,Extremely useful,Extremely Necessary,Moderately Necessary,Extremely Necessary,Moderately Necessary,,,,,,,18 - 24,Female,Urban area,No
48,Moderately agree,Slightly useful,Moderately useful,Extremely Necessary,Moderately Necessary,Extremely Necessary,Slightly Necessary,,,,,,,18 - 24,Male,Urban area,No
49,Strongly agree,Moderately useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,,,,,,,18 - 24,Male,Urban area,No
50,Slightly agree,,,,,,,Extremely useful,Slightly useless,Moderately Necessary,Moderately Necessary,Moderately Necessary,Extremely Necessary,18 - 24,Male,Urban area,Yes
51,Moderately agree,,,,,,,Moderately useful,Slightly useful,Extremely Necessary,Slightly Necessary,Extremely Necessary,Extremely Necessary,18 - 24,Male,Urban area,No
52,Moderately agree,,,,,,,Extremely useful,Extremely useful,Moderately Necessary,Moderately Necessary,Moderately Necessary,Moderately Necessary,18 - 24,Male,Urban area,No
53,Strongly agree,Moderately useful,Extremely useful,Extremely Necessary,Extremely Necessary,Moderately Necessary,Slightly Unnecessary,,,,,,,25 - 34,Female,Urban area,No
54,Strongly agree,,,,,,,Extremely useful,Extremely useful,Moderately Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,18 - 24,Male,Urban area,No
55,Moderately agree,Extremely useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,,,,,,,18 - 24,Male,Urban area,No
